"Story","Title","Result","Date","Stability","Duration (s)"
"Trade acquisition","Cftc acquisition","SUCCESS","2018-10-14T00:49:30.53+05:30[Asia/Kolkata]","0.0","0.61"
"Trade acquisition","Generic acquisition","SUCCESS","2018-10-14T00:49:31.546+05:30[Asia/Kolkata]","0.0","0.17"
"Trade acquisition","Volcker acquisition","SUCCESS","2018-10-14T00:49:31.719+05:30[Asia/Kolkata]","0.0","0.16"
"Positions acquisition","Basic acquisition","SUCCESS","2018-10-14T00:49:33.494+05:30[Asia/Kolkata]","0.0","0.23"
"Business Activities","The business activity risk factor for an established business","SUCCESS","2018-10-14T00:49:34.513+05:30[Asia/Kolkata]","0.0","0.02"
"Business Activities","Businesses established less than 2 years ago are considered higher risk","SUCCESS","2018-10-14T00:49:34.58+05:30[Asia/Kolkata]","0.0","0.01"
"Country risk ratings","Each country has a risk rating based on anti-money-laundering and anti-corruption considerations","SUCCESS","2018-10-14T00:49:34.624+05:30[Asia/Kolkata]","0.0","0.06"
"Country risk ratings","Countries are categorised as low, medium and high risk based on their risk rating","SUCCESS","2018-10-14T00:49:34.714+05:30[Asia/Kolkata]","0.0","0.02"
"Country risk ratings","Overall customer risk is based on country of origin and country of domicile","SUCCESS","2018-10-14T00:49:34.784+05:30[Asia/Kolkata]","0.0","0.03"
"Identifying a new customer","Identifying a new customer living in the UK","SUCCESS","2018-10-14T00:49:34.86+05:30[Asia/Kolkata]","0.0","0.01"
"Monitoring suspicious cash transactions","Large cash transactions","SUCCESS","2018-10-14T00:49:34.886+05:30[Asia/Kolkata]","0.0","0.07"
"Monitoring suspicious cash transactions","Many small cash transactions","SUCCESS","2018-10-14T00:49:34.962+05:30[Asia/Kolkata]","0.0","0.01"
"Monitoring suspicious cash transactions","Many small cash transactions that are in the customer's normal usage patterns","SUCCESS","2018-10-14T00:49:34.973+05:30[Asia/Kolkata]","0.0","0.01"
